,Against,Date,Header,PlayerID,PlayerName,Scored,Team,x,y
0,Chelsea,27/04/2014,1,517,517,Missed,Liverpool,35.712,184.336
1,Chelsea,27/04/2014,1,70,70,Missed,Liverpool,80.512,181.33
2,Liverpool,27/04/2014,1,5603,5603,Missed,Chelsea,39.744,172.312
3,Chelsea,27/04/2014,0,75,75,Missed,Liverpool,121.28,217.068
4,Chelsea,27/04/2014,0,1294,1294,Missed,Liverpool,43.328,155.278
5,Chelsea,27/04/2014,0,2673,2673,Missed,Liverpool,40.192,128.224
6,Chelsea,27/04/2014,0,70,70,Missed,Liverpool,140.544,167.636
7,Chelsea,27/04/2014,0,2673,2673,Missed,Liverpool,138.304,260.488
8,Chelsea,27/04/2014,0,528,528,Missed,Liverpool,140.096,155.278
9,Chelsea,27/04/2014,0,529,529,Missed,Liverpool,93.056,206.046
10,Chelsea,27/04/2014,0,529,529,Missed,Liverpool,120.832,174.984
11,Chelsea,27/04/2014,0,70,70,Missed,Liverpool,137.856,172.312
12,Chelsea,27/04/2014,0,529,529,Missed,Liverpool,106.496,246.794
13,Chelsea,27/04/2014,0,540,540,Missed,Liverpool,112.32,163.294
14,Chelsea,27/04/2014,0,70,70,Missed,Liverpool,142.784,206.046
15,Chelsea,27/04/2014,0,2673,2673,Missed,Liverpool,112.768,245.792
16,Chelsea,27/04/2014,0,70,70,Missed,Liverpool,115.008,191.016
17,Chelsea,27/04/2014,0,70,70,Missed,Liverpool,118.144,200.702
18,Chelsea,27/04/2014,0,540,540,Missed,Liverpool,139.2,159.954
19,Chelsea,27/04/2014,0,70,70,Missed,Liverpool,147.264,199.7
20,Chelsea,27/04/2014,0,75,75,Missed,Liverpool,135.616,272.512
21,Chelsea,27/04/2014,0,529,529,Missed,Liverpool,139.2,184.336
22,Chelsea,27/04/2014,0,2673,2673,Missed,Liverpool,112.32,246.46
23,Chelsea,27/04/2014,0,70,70,Missed,Liverpool,139.2,167.636
24,Chelsea,27/04/2014,0,2673,2673,Missed,Liverpool,110.528,186.674
25,Chelsea,27/04/2014,0,70,70,Missed,Liverpool,140.544,170.308
26,Chelsea,27/04/2014,0,529,529,Missed,Liverpool,73.344,224.082
27,Liverpool,27/04/2014,0,71,71,Missed,Chelsea,123.072,220.408
28,Liverpool,27/04/2014,0,619,619,Missed,Chelsea,127.552,149.6
29,Liverpool,27/04/2014,0,9258,9258,Missed,Chelsea,81.856,119.54
30,Liverpool,27/04/2014,0,434,434,Missed,Chelsea,125.312,105.512
31,Liverpool,27/04/2014,0,619,619,Scored,Chelsea,99.776,178.658
32,Liverpool,27/04/2014,0,134,134,Missed,Chelsea,95.296,253.474
33,Liverpool,27/04/2014,0,134,134,Missed,Chelsea,122.624,230.094
34,Liverpool,27/04/2014,0,619,619,Missed,Chelsea,80.512,239.78
35,Liverpool,27/04/2014,0,9284,9284,Missed,Chelsea,73.344,261.824
36,Liverpool,27/04/2014,0,7145,7145,Scored,Chelsea,22.272,177.99
