team	start	gw4	Now	colour
Arsenal	6	6	6	red
Bournemouth	16	19	18	maroon
Brighton	20	20	20	turquoise
Burnley	17	15	14	darkorchid
Chelsea	3	4	5	blue
Crystal Palace	12	14	16	deeppink
Everton	8	8	8	royalblue
Huddersfield	19	18	19	yellow
Leicester	13	13	13	slateblue
Liverpool	4	5	4	orangered
Man City	1	1	1	cyan
Man United	5	3	3	indianred
Newcastle	18	16	15	black
Southampton	7	7	7	lightsalmon
Stoke	11	10	11	rosybrown
Swansea	14	17	17	lightgray
Tottenham	2	2	2	dimgray
Watford	15	12	9	gold
West Brom	9	9	10	powderblue
West Ham	10	11	12	purple
